paper_id,year,title,for_l2,for_l4
pub.1021011344,2017,Lung Cancer Risk Prediction Model Incorporating Lung Function: Development and Validation in the UK Biobank Prospective Cohort Study,Biomedical and Clinical Sciences,Oncology and Carcinogenesis
pub.1021169975,2015,Genetic Associations with Subjective Well-Being Also Implicate Depression and Neuroticism,Biological Sciences; Mathematical Sciences,Genetics; Statistics
pub.1021187708,2016,"Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank",Health Sciences,Public Health
pub.1021308704,2016,"Longer-Lived Parents and Cardiovascular Outcomes 8-Year Follow-Up In 186,000 U.K. Biobank Participants",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology
pub.1021566317,2015,"Hearing Loss and Cognition: The Role of Hearing Aids, Social Isolation and Depression",Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1021940468,2016,Phenotypic Characterization of Genetically Lowered Human Lipoprotein(a) Levels,Biomedical and Clinical Sciences,Clinical Sciences
pub.1021968965,2016,Lower lung function associates with cessation of menstruation: UK Biobank data,Biomedical and Clinical Sciences,Reproductive Medicine
pub.1022349539,2016,"Cognitive Test Scores in UK Biobank: Data Reduction in 480,416 Participants and Longitudinal Stability in 20,346 Participants",Health Sciences; Psychology,Biological Psychology
pub.1022435973,2015,How Does Cardiovascular Disease First Present in Women and Men?,Health Sciences,Epidemiology; Public Health
pub.1022462306,2015,Association of Cardiometabolic Multimorbidity With Mortality,Health Sciences,Epidemiology; Public Health
pub.1022769625,2015,Shared genetic aetiology between cognitive functions and physical and mental health in UK Biobank (N = 112 151) and 24 GWAS consortia,Biological Sciences; Health Sciences; Mathematical Sciences; Psychology,Biological Psychology; Epidemiology; Genetics; Statistics
pub.1023225579,2015,"Beyond power: Multivariate discovery, replication, and interpretation of pleiotropic loci using summary association statistics",Biological Sciences; Health Sciences; Mathematical Sciences,Epidemiology; Genetics; Statistics
pub.1023645949,2016,Occupations associated with COPD risk in the large population-based UK Biobank cohort study,Health Sciences,Epidemiology; Public Health
pub.1024038449,2015,OP81 Does active commuting protect against obesity in mid-life? evidence from UK Biobank,Health Sciences,Public Health
pub.1024222481,2016,Events in Early Life are Associated with Female Reproductive Ageing: A UK Biobank Study,Biomedical and Clinical Sciences; Health Sciences,Reproductive Medicine
pub.1024465558,2016,"Genetics, lifestyle and environment",Health Sciences,Health Services and Systems
pub.1024470245,2015,Molecular genetic contributions to self-rated health,Biological Sciences; Health Sciences,Epidemiology; Genetics; Public Health
pub.1024856964,2014,Association of Dietary Factors with Presence and Severity of Tinnitus in a Middle-Aged UK Population,Biomedical and Clinical Sciences,Nutrition and Dietetics
pub.1025257405,2016,Haplotype estimation for biobank-scale data sets,Biological Sciences,Genetics
pub.1025640694,2016,"Genome-wide association analyses in > 119,000 individuals identifies thirteen morningness and two sleep duration loci",Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1025909561,2016,Interplay of takeaway food outlet exposure and income on diet and obesity: a cross-sectional study in UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Nutrition and Dietetics; Public Health
pub.1026055729,2015,Mental Health and Subjective Well-being of Individuals With Ménière’s,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Health Services and Systems; Nursing
pub.1026067142,2016,Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank,Biomedical and Clinical Sciences; Health Sciences,Public Health
pub.1026268017,2016,A Large Genome-Wide Association Study of Age-Related Hearing Impairment Using Electronic Health Records,Biological Sciences,Genetics
pub.1026626500,2016,Intelligence and neuroticism in relation to depression and psychological distress: evidence of interaction using data from Generation Scotland: Scottish Family Health Study and UK Biobank,Health Sciences; Psychology,Biological Psychology; Social and Personality Psychology
pub.1026683662,2016,Cohort profile of the UK Biobank: diagnosis and characteristics of cerebrovascular disease,Health Sciences,Health Services and Systems
pub.1027032527,2014,"Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank",Biomedical and Clinical Sciences,Clinical Sciences
pub.1027134443,2016,"Age differences in brain white matter microstructure in UK Biobank (N = 3,513)",Biomedical and Clinical Sciences; Psychology,Biological Psychology
pub.1027398186,2016,Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits,Biological Sciences,Genetics
pub.1027532193,2016,"Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci",Biological Sciences,Genetics
pub.1027694754,2016,Multiple novel gene-by-environment interactions modify the effect of FTO variants on body mass index,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1027900628,2016,Tinnitus and Sleep Difficulties After Cochlear Implantation,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1027999996,2016,The Cost of Ménière’s Disease,Health Sciences,Epidemiology
pub.1028095516,2015,"Human Fertility, Molecular Genetics, and Natural Selection in Modern Societies",Biological Sciences; Human Society,Demography; Genetics
pub.1028507610,2014,"Prevalence, Associated Factors, and Comorbid Conditions for Ménière’s Disease",Biomedical and Clinical Sciences; Health Sciences,Health Services and Systems; Public Health
pub.1028604362,2015,Genetic determination of height-mediated mate choice,Biological Sciences; Psychology,Biological Psychology; Ecology; Genetics; Social and Personality Psychology
pub.1028688867,2015,5 year mortality predictors in 498 103 UK Biobank participants: a prospective population-based study,Health Sciences,Epidemiology; Public Health
pub.1028771264,2016,Application of linear mixed models to study genetic stability of height and body mass index across countries and time,Health Sciences; Mathematical Sciences,Epidemiology; Statistics
pub.1029058456,2016,Accuracy and Utility of Self-report of Refractive Error,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1029129417,2016,"Human longevity is influenced by many genetic variants: evidence from 75,000 UK Biobank participants",Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1029316878,2016,Programming of Adiposity in Childhood and Adolescence: Associations With Birth Weight and Cord Blood Adipokines,Biomedical and Clinical Sciences,Nutrition and Dietetics; Reproductive Medicine
pub.1029373292,2015,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank,Biomedical and Clinical Sciences,Clinical Sciences
pub.1029430591,2017,Intelligence and neuroticism in relation to depression and psychological distress: Evidence from two large population cohorts,Psychology,Biological Psychology; Clinical and Health Psychology; Social and Personality Psychology
pub.1029451657,2017,Exploring the genetic architecture of inflammatory bowel disease by whole-genome sequencing identifies association at ADCY7,Biological Sciences,Genetics
pub.1029706251,2015,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",Psychology,Biological Psychology
pub.1029709383,2016,Genome-wide analysis identifies 12 loci influencing human reproductive behavior,Biological Sciences,Genetics
pub.1030035157,2014,Visual health inequalities: findings from UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Ophthalmology and Optometry; Public Health
pub.1030154089,2015,Differences in Common Genetic Predisposition to Ischemic Stroke by Age and Sex,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences; Neurosciences
pub.1030240233,2015,"Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study",Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1030689299,2016,Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study,Health Sciences,Public Health
pub.1030703024,2016,Molecular Genetic Contributions to Social Deprivation and Household Income in UK Biobank,Biological Sciences; Psychology,Biological Psychology; Genetics
pub.1031054079,2015,Physical activity in relation to body size and composition in women in UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Nutrition and Dietetics; Public Health
pub.1031054981,2016,Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1031168645,2016,Phenome-wide Heritability Analysis of the UK Biobank,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1031434276,2013,Parental diabetes and birthweight in 236 030 individuals in the UK Biobank Study,Health Sciences,Epidemiology
pub.1031791610,2016,Childhood febrile illness and the risk of myopia in UK Biobank participants,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1032094901,2014,"S1 A New, Efficient Web-based Tool To Collect And Code Lifetime Job Histories In Large Population-based Studies: The Copd Project In The Uk Biobank Cohort",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1032215243,2016,Predicting educational achievement from DNA,Psychology,Biological Psychology
pub.1032372710,2016,"Molecular genetic contributions to social deprivation and household income in UK Biobank (n = 112,151)",Biological Sciences; Health Sciences; Psychology,Biological Psychology; Epidemiology; Genetics; Public Health
pub.1032513681,2016,Association Between Low-Density Lipoprotein Cholesterol–Lowering Genetic Variants and Risk of Type 2 Diabetes: A Meta-analysis,Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1032608567,2014,Autocalibration of accelerometer data for free-living physical activity assessment using local gravity and temperature: an evaluation on four continents,Biological Sciences; Biomedical and Clinical Sciences; Health Sciences,Unclassified
pub.1033210422,2015,Women’s reproductive health factors and body adiposity: findings from the UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Public Health; Reproductive Medicine
pub.1033301382,2015,Shared genetic aetiology of puberty timing between sexes and with health-related outcomes,Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1033375576,2016,Management of Incidental Findings on Multimodal Imaging in UK Biobank,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences
pub.1033380373,2016,"Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses",Biological Sciences,Genetics
pub.1033523944,2015,Measures of socioeconomic status and self-reported glaucoma in the UK Biobank cohort,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1033541396,2013,"Prevalence and Characteristics of Probable Major Depression and Bipolar Disorder within UK Biobank: Cross-Sectional Study of 172,751 Participants",Biomedical and Clinical Sciences; Health Sciences; Psychology,Clinical Sciences; Health Services and Systems
pub.1033632930,2015,UK Biobank: An Open Access Resource for Identifying the Causes of a Wide Range of Complex Diseases of Middle and Old Age,Health Sciences,Epidemiology
pub.1033970462,2016,"Genetic evidence that lower circulating FSH levels lengthen menstrual cycle, increase age at menopause and impact female reproductive health",Biomedical and Clinical Sciences,Reproductive Medicine
pub.1034000276,2016,Reference-based phasing using the Haplotype Reference Consortium panel,Biological Sciences,Genetics
pub.1034127623,2014,Do smoking habits differ between women and men in contemporary Western populations? Evidence from half a million people in the UK Biobank study,Biomedical and Clinical Sciences; Health Sciences,Public Health
pub.1034394716,2016,Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA,Biological Sciences; Biomedical and Clinical Sciences,Genetics; Medical Biochemistry and Metabolomics
pub.1034433445,2013,The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population,Psychology,Social and Personality Psychology
pub.1034440161,2016,Association of the number of offspring with risk of cardiovascular disease in men and women: the role of shared lifestyle characteristics,Biomedical and Clinical Sciences; Health Sciences,Epidemiology
pub.1034921145,2015,"Associations of Leg Length, Trunk Length, and Total Adult Height With Ménière’s",Health Sciences,Epidemiology; Public Health
pub.1034960582,2015,"OP15 Characteristics of men who have had a prostate-specific antigen test: cross-sectional findings for 212,039 men from UK biobank",Health Sciences,Epidemiology; Public Health
pub.1035419285,2014,"Relation between Speech-in-Noise Threshold, Hearing Loss and Cognition from 40–69 Years of Age",Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science; Clinical Sciences
pub.1035482808,2016,Physical and neurobehavioral determinants of reproductive onset and success,Biological Sciences,Genetics
pub.1035563461,2016,Genome-wide Regional Heritability Mapping Identifies a Locus Within the TOX2 Gene Associated With Major Depressive Disorder,Biological Sciences; Biomedical and Clinical Sciences; Psychology,Biological Psychology; Genetics
pub.1035651555,2016,Case-control association mapping without cases,Biological Sciences; Health Sciences; Mathematical Sciences,Epidemiology; Genetics; Statistics
pub.1035858392,2016,Associations with Intraocular Pressure in a Large Cohort Results from the UK Biobank,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1035901319,2014,An inherited duplication at the gene p21 Protein-Activated Kinase 7 (PAK7) is a risk factor for psychosis,Biological Sciences,Genetics
pub.1036243500,2016,"Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study",Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1036392032,2016,Genetic and Environmental Risk for Chronic Pain and the Contribution of Risk Variants for Major Depressive Disorder: A Family-Based Mixed-Model Analysis,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences
pub.1036717558,2015,"Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population",Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences
pub.1036817670,2016,Optical Coherence Tomography in the UK Biobank Study – Rapid Automated Analysis of Retinal Thickness for Large Population-Based Studies,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1037128781,2016,Shared genetic aetiology between cognitive functions and physical and mental health in UK Biobank (N=112 151) and 24 GWAS consortia,Psychology,Biological Psychology
pub.1037326947,2015,"Evaluation of serum CEA, CYFRA21-1 and CA125 for the early detection of colorectal cancer using longitudinal preclinical samples",Biomedical and Clinical Sciences,Clinical Sciences; Oncology and Carcinogenesis
pub.1037627059,2016,Body-mass index and all-cause mortality: individual-participant-data meta-analysis of 239 prospective studies in four continents,Biomedical and Clinical Sciences; Health Sciences,Epidemiology; Public Health
pub.1037967448,2016,PCSK9 genetic variants and risk of type 2 diabetes: a mendelian randomisation study,Biomedical and Clinical Sciences,Clinical Sciences; Medical Biochemistry and Metabolomics
pub.1037967699,2016,Genome-wide association study of cognitive functions and educational attainment in UK Biobank (N=112 151),Psychology,Biological Psychology
pub.1038292938,2016,The Ser82 RAGE Variant Affects Lung Function and Serum RAGE in Smokers and sRAGE Production In Vitro,Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1038463898,2014,0148 Using the UK Biobank study to estimate occupational causes of chronic disease: comparability with the UK national population and adjustment for bias,Health Sciences,Epidemiology; Public Health
pub.1038653338,2015,"PL02 Body size and composition, physical activity and breast cancer risk: results from the UK biobank prospective cohort",Health Sciences,Health Services and Systems; Public Health
pub.1038659099,2016,Polygenic risk for coronary artery disease is associated with cognitive ability in older adults,Health Sciences,Epidemiology
pub.1038865522,2016,Genetic Predisposition to an Impaired Metabolism of the Branched-Chain Amino Acids and Risk of Type 2 Diabetes: A Mendelian Randomisation Analysis,Biomedical and Clinical Sciences,Unclassified
pub.1038938741,2016,"Variants in the FTO and CDKAL1 loci have recessive effects on risk of obesity and type 2 diabetes, respectively",Health Sciences,Epidemiology
pub.1039624814,2015,"Does active commuting protect against obesity in mid-life? Cross-sectional, observational evidence from UK Biobank",Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Public Health
pub.1039665656,2017,Genetic evidence of assortative mating in humans,Health Sciences; Psychology,Biological Psychology; Epidemiology; Social and Personality Psychology
pub.1039755657,2016,"Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233 110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 diabetes",Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Public Health
pub.1039889913,2016,Genome-wide association study of copy number variation with lung function identifies a novel signal of association near BANP for forced vital capacity,Biological Sciences,Genetics
pub.1040135039,2016,Genome-wide haplotype-based association analysis of major depressive disorder in Generation Scotland and UK Biobank,Biological Sciences; Health Sciences,Epidemiology; Genetics
pub.1040230125,2015,"Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1040344357,2016,The Effect of Functional Hearing and Hearing Aid Usage on Verbal Reasoning in a Large Community-Dwelling Population,Biomedical and Clinical Sciences; Health Sciences,Allied Health and Rehabilitation Science
pub.1040535960,2013,"Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants",Health Sciences,Epidemiology; Public Health
pub.1040674025,2016,"Exome-wide analysis of rare coding variation identifies novel associations with COPD and airflow limitation in MOCS3, IFIT3 and SERPINA12",Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology; Clinical Sciences
pub.1040758749,2016,"Cognitive Performance Among Carriers of Pathogenic Copy Number Variants: Analysis of 152,000 UK Biobank Subjects",Biological Sciences; Biomedical and Clinical Sciences,Genetics
pub.1041038014,2015,"Relationship between Smoking and Obesity: A Cross-Sectional Study of 499,504 Middle-Aged Adults in the UK General Population",Biomedical and Clinical Sciences; Health Sciences,Public Health
pub.1041499164,2016,Associations with Retinal Pigment Epithelium Thickness Measures in a Large Cohort Results from the UK Biobank,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1041793731,2015,Ethnic differences in sleep duration and morning–evening type in a population sample,Biomedical and Clinical Sciences; Health Sciences,Public Health
pub.1041881117,2016,Pleiotropy between neuroticism and physical and mental health: findings from 108 038 men and women in UK Biobank,Psychology,Biological Psychology; Social and Personality Psychology
pub.1042260316,2016,Lifestyle factors and prostate-specific antigen (PSA) testing in UK Biobank: Implications for epidemiological research,Biomedical and Clinical Sciences; Health Sciences,Clinical Sciences; Oncology and Carcinogenesis
pub.1042452523,2015,Spectral-Domain Optical Coherence Tomography Imaging in 67 321 Adults Associations with Macular Thickness in the UK Biobank Study,Biomedical and Clinical Sciences,Ophthalmology and Optometry
pub.1042637164,2014,New Reference Values for Body Composition by Bioelectrical Impedance Analysis in the General Population: Results From the UK Biobank,Health Sciences,Public Health
pub.1042968517,2016,"Psychological distress, neuroticism, and cause-specific mortality: early prospective evidence from UK Biobank",Health Sciences,Epidemiology; Public Health
pub.1043508776,2016,Subcortical volume and white matter integrity abnormalities in major depressive disorder: findings from UK Biobank imaging data,Biomedical and Clinical Sciences; Psychology,Biological Psychology; Clinical Sciences
pub.1043593875,2017,Comparison of DNA quantification methodology used in the DNA extraction protocol for the UK Biobank cohort,Biological Sciences,Genetics
pub.1043965515,2016,Variants near CHRNA3/5 and APOE have age- and sex-related effects on human lifespan,Biological Sciences,Genetics
pub.1044724095,2016,"Do Regional Brain Volumes and Major Depressive Disorder Share Genetic Architecture: A Study in Generation Scotland (n=19,762), UK Biobank (n=24,048) and the English Longitudinal Study of Ageing (n=5,766)",Biological Sciences; Health Sciences; Psychology,Biological Psychology; Epidemiology; Genetics
pub.1045531625,2016,"Genome-wide association analysis identifies novel loci for chronotype in 100,420 individuals from the UKBiobank",Biological Sciences; Health Sciences,Epidemiology; Genetics
