researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.013467041207.19,Sarah J Bowden,1,Biomedical and Clinical Sciences,Reproductive Medicine,Hammersmith Hospital,United Kingdom,Female
ur.013467112163.55,Ruiqi Yuan,33,Biological Sciences,Genetics,University of Michigan-Ann Arbor,United States,Female
ur.01346715206.34,Anthony J. Cleare,12,Psychology,Biological Psychology,King's College London,United Kingdom,Male
ur.013467217256.59,Jose Ameijeiras-Alonso,37,Biomedical and Clinical Sciences,Clinical Sciences,University of Santiago de Compostela,Spain,Male
ur.01346723777.46,Katharine H. Fraser,445,Biological Sciences,Zoology,University of Bath,United Kingdom,Female
ur.013467314405.04,Morgan J. Sidari,1,Psychology,Biological Psychology,University of Queensland,Australia,Male
ur.01346732565.22,Kwanghyuk Lee,43,Biological Sciences,Genetics,Baylor College of Medicine,United States,Unknown
ur.01346736167.21,Ludmila Prokunina-Olsson,2,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,National Cancer Institute,United States,Female
ur.013467401057.89,Edouard Mathieu,23,Biomedical and Clinical Sciences,Clinical Sciences,University of Oxford,United Kingdom,Male
ur.01346745037.77,Helle Krogh Pedersen,14,Biomedical and Clinical Sciences,Clinical Sciences,Technical University of Denmark,Denmark,Female
ur.013467477607.98,Sara Pedron,1097,Health Sciences,Epidemiology,German Center for Diabetes Research,Germany,Female
ur.013467503152.85,B. M. Jakson,3,Psychology,Social and Personality Psychology,"Faculty of Health, Medicine and Life Sciences (Honours Programme)",,Unknown
ur.013467531002.72,Lijia Wang,1,Biological Sciences,Epidemiology,University of Michigan-Ann Arbor,United States,Female
ur.013467543172.31,Jiankang Xu,681,Health Sciences,Epidemiology,Tianjin University of Traditional Chinese Medicine,China,Male
ur.013467630505.39,M. Thankachen,4,Biological Sciences,Genetics,West Middlesex University Hospital,United Kingdom,Female
ur.01346767154.29,Say Khoo,4,Biological Sciences,Genetics,University of Liverpool,United Kingdom,Female
ur.01346767345.38,Phil McEwan,23,Health Sciences,Health Services and Systems,Health Economics and Outcomes Research (United Kingdom),United Kingdom,Male
ur.013467770272.30,Shwetak N. Patel,874,Information and Computing Sciences,Machine Learning,Google LLC,United States,Unknown
ur.01347005727.48,Matthias Farlik,1,Biological Sciences,Epidemiology,Medical University of Vienna,Austria,Male
ur.013470107411.18,Ming Han,50,Biological Sciences,Genetics,University of Chinese Academy of Sciences,China,Male
ur.013470127505.40,Ruyu Huang,24,Health Sciences,Epidemiology,Nanjing Medical University,China,Unknown
ur.013470133614.51,Tao Lin,69,Biomedical and Clinical Sciences,Clinical Sciences,Sichuan University,China,Male
ur.01347015675.97,Dajiang Du,64,Biomedical and Clinical Sciences,Clinical Sciences,Shanghai Jiao Tong University,China,Male
ur.01347020047.71,Miles Parkes,5,Biological Sciences,Genetics,Addenbrooke's Hospital,United Kingdom,Male
ur.013470415404.46,Alejandro Martinez Carrasco,10,Biomedical and Clinical Sciences,Biological Psychology,Aligning Science Across Parkinson’s,United Kingdom,Male
ur.01347043342.64,Pranav Patni,35,Biological Sciences,Biochemistry and Cell Biology,Institut Pasteur,France,Male
ur.013470445607.09,Nishadh Sutaria,17,Biomedical and Clinical Sciences,Clinical Sciences,Johns Hopkins University,United States,Unknown
ur.013470456325.14,S. Packham,4,Biological Sciences,Genetics,Airedale General Hospital,United Kingdom,Female
ur.01347050714.19,Stefan Konigorski,20,Biological Sciences,Genetics,Hasso Plattner Institute,Germany,Male
ur.013470535714.13,Zongkai Liu,1252,Biological Sciences,Oncology and Carcinogenesis,Shandong University of Traditional Chinese Medicine,China,Unknown
ur.01347054623.06,Ali El-Armouche,6,Biomedical and Clinical Sciences,Clinical Sciences,TU Dresden,Germany,Male
ur.01347056554.23,Geyu Liang,24,Environmental Sciences,Pollution and Contamination,Southeast University,China,Unknown
ur.01347056613.45,J. Wuopio,1,Biomedical and Clinical Sciences,Clinical Sciences,"Clinical Research Center, Falun, Sweden",Sweden,Unknown
ur.013470572357.40,Jonathan H Tobias,13,Biomedical and Clinical Sciences,Clinical Sciences,MRC Integrative Epidemiology Unit,United Kingdom,Male
ur.01347061317.27,Kai Wang,497,Biomedical and Clinical Sciences,Clinical Sciences,Fourth Affiliated Hospital of Zhejiang University School of Medicine,China,Unknown
ur.013470617551.45,Jingjing Song,12,Health Sciences,Epidemiology,"Department of Internal Medicine, Huzhou Wuxing Hospital of Chinese Medicine, 313000, Huzhou, China",China,Female
ur.013470640433.10,Lars Lind,1,Biological Sciences,Genetics,Uppsala University,Sweden,Male
ur.013470645411.92,Maike L. Morrison,2,Biological Sciences,Genetics,"University of California, San Francisco",United States,Female
ur.013470654203.14,Mario Carrión-Claro,10,Biomedical and Clinical Sciences,Clinical Sciences,Institute of Biomedicine of Seville,Spain,Male
ur.013470745317.84,Lucie A. Duffy,15,Biomedical and Clinical Sciences,Clinical Sciences,McLean Hospital,United States,Female
ur.01347076713.77,Shufa Du,1,Health Sciences,Epidemiology,University of North Carolina at Chapel Hill,United States,Unknown
ur.013470771154.20,Fang He,798,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Zhejiang University,China,Unknown
ur.013471003137.08,Charles Antzelevitch,28,Biological Sciences,Genetics,Lankenau Institute for Medical Research,United States,Male
ur.01347100757.44,Robert Frithiof,53,Health Sciences,Public Health,Uppsala University Hospital,Sweden,Male
ur.013471047164.10,Samiran Mukherjee,6,Biological Sciences,Epidemiology,University of Pennsylvania,United States,Male
ur.013471075617.35,Thorkild I. A. Sørensen,1,Biological Sciences,Genetics,University of Copenhagen,Denmark,Male
ur.013471113337.33,Zhen Wang,30,Biomedical and Clinical Sciences,Clinical Sciences,Shandong Provincial Hospital,China,Unknown
ur.01347122323.28,Yonggao Mou,30,Biological Sciences,Genetics,Sun Yat-sen University Cancer Center,China,Unknown
ur.013471247404.39,Joseph Yi,8,Biomedical and Clinical Sciences,Epidemiology,Albert Einstein College of Medicine,United States,Male
ur.013471337233.85,Anupriya Tripathi,5,Biological Sciences,Microbiology,"University of California, San Diego",United States,Female
ur.01347134323.50,R Allikmets,8,Biological Sciences,Genetics,Columbia University,United States,Male
ur.01347145441.48,Javed Butler,12,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Mississippi,United States,Male
ur.013471504041.25,Takamasa Tsuzuki,44,Biomedical and Clinical Sciences,,Meijo University,Japan,Male
ur.013471570013.82,Emilio Franco,10,Biological Sciences,Epidemiology,Hospital Universitario Virgen del Rocío,Spain,Male
ur.013471712653.79,Arun Jyothidasan,358,Biomedical and Clinical Sciences,Medical Physiology,Duke University,United States,Male
ur.013471733770.37,Mahboubeh Motaghi,39,Biomedical and Clinical Sciences,Biological Psychology,Université Laval,Canada,Female
ur.013472026664.16,Linxuan Zhang,25,Biological Sciences,Genetics,"Sequoia Genetics, Translation & Innovation Hub, London W12 0BZ, UK;, linxuan.zhang@sequoiagenetics.com, (L.Z.);, christopher.bodimeade@sequoiagenetics.com, (C.B.)",United Kingdom,Unknown
ur.013472035075.66,Marco Palma,30,Health Sciences,Epidemiology,UCL Institute of Child Health,United Kingdom,Male
ur.01347205370.27,Patrick G Kehoe,13,Health Sciences,Epidemiology,University of Bristol,United Kingdom,Male
ur.013472123636.80,Michael Bell,4,Biological Sciences,Epidemiology,National Institute for Health and Care Research,United Kingdom,Male
ur.013472141136.52,Bokang Qiao,11,Biological Sciences,,Beijing Anzhen Hospital,China,Unknown
