community,n_authors,mean_ukb_h_index,median_ukb_papers,female_name_share,modal_for_l2,modal_for_l4,modal_institution,modal_country,author_share,cumulative_author_share,top_topics,top_institutions
464,8,1.125,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Shandong University of Traditional Chinese Medicine,China,0.011554515649147131,91.96527868047443,Cardiovascular Medicine and Haematology (62%); Biochemistry and Cell Biology (38%),"Shandong University of Traditional Chinese Medicine (50%); Affiliated Hospital of Shandong University of Traditional Chinese Medicine (25%); Department of Cardiology, Dongying People’s Hospital (Dongying Hospital of Shandong Provincial Hospital Group), Dongying, Shandong Province, China (25%)"
465,8,1.0,1.0,0.0,Health Sciences,Epidemiology,Chengdu University of Traditional Chinese Medicine,China,0.011554515649147131,91.97683319612358,Epidemiology (88%); Immunology (12%),Chengdu University of Traditional Chinese Medicine (75%); Hospital of Chengdu University of Traditional Chinese (25%)
466,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,University of Western Australia,Australia,0.011554515649147131,91.98838771177273,Clinical Sciences (100%),University of Western Australia (62%); Perron Institute for Neurological and Translational Science (25%); The University of Notre Dame Australia (12%)
467,8,1.0,1.0,66.66666666666667,Health Sciences,Epidemiology,The University of Sydney,Australia,0.011554515649147131,91.99994222742188,Epidemiology (100%),The University of Sydney (88%); University of Edinburgh (12%)
468,8,1.0,1.0,0.0,Health Sciences,Epidemiology,Shanghai University of Traditional Chinese Medicine,China,0.011554515649147131,92.01149674307104,Epidemiology (100%),"Shanghai University of Traditional Chinese Medicine (62%); Second Department of Vascular Anomalies Disease, Shanghai TCM-Integrated Hospital, Shanghai, China (38%)"
469,8,1.0,1.5,0.0,Health Sciences,Epidemiology,Second Xiangya Hospital of Central South University,China,0.011554515649147131,92.02305125872019,Epidemiology (62%); Biological Psychology (38%),Second Xiangya Hospital of Central South University (100%)
470,8,1.375,1.5,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology,China,0.011554515649147131,92.03460577436934,Clinical Sciences (50%); Epidemiology (50%),Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology (88%); Renmin Hospital of Wuhan University (12%)
471,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Beijing Hospital,China,0.011554515649147131,92.04616029001849,Cardiovascular Medicine and Haematology (100%),Beijing Hospital (100%)
472,8,1.0,1.0,0.0,Health Sciences,Epidemiology,Chinese University of Hong Kong,China,0.011554515649147131,92.05771480566764,Epidemiology (100%),Chinese University of Hong Kong (62%); Tongji University (25%); Chengdu University of Traditional Chinese Medicine (12%)
473,8,1.0,1.0,0.0,Health Sciences,Epidemiology,Xi'an Jiaotong University,China,0.011554515649147131,92.0692693213168,Epidemiology (100%),Xi'an Jiaotong University (88%); Fifth Affiliated Hospital of Sun Yat-sen University (12%)
474,8,1.0,1.0,50.0,Biomedical and Clinical Sciences,,Soochow University,China,0.011554515649147131,92.08082383696595,,Soochow University (75%); First Affiliated Hospital of Anhui Medical University (12%); Nanjing General Hospital of Nanjing Military Command (12%)
475,8,0.0,1.0,0.0,"Agricultural, Veterinary and Food Sciences",Chemical Engineering,Xuan Wu Hospital of the Capital Medical University,China,0.011554515649147131,92.0923783526151,Chemical Engineering (100%),Xuan Wu Hospital of the Capital Medical University (100%)
476,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Epidemiology,Southern Medical University,China,0.011554515649147131,92.10393286826425,Epidemiology (100%),Southern Medical University (88%); Shanghai Cancer Institute (12%)
477,8,1.0,2.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Fudan University,China,0.011554515649147131,92.1154873839134,Clinical Sciences (100%),Fudan University (100%)
478,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Biological Psychology,Bekhterev National Medical Research Center for Psychiatry and Neurology,Russia,0.011554515649147131,92.12704189956256,Biological Psychology (100%),Bekhterev National Medical Research Center for Psychiatry and Neurology (62%); First Pavlov State Medical University of St. Petersburg (25%); Genotek (Russia) (12%)
479,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,University of Science and Technology of China,China,0.011554515649147131,92.13859641521171,Medical Biochemistry and Metabolomics (100%),University of Science and Technology of China (75%); Hefei University of Technology (12%); Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology (12%)
480,8,0.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Second Hospital of Hebei Medical University,China,0.011554515649147131,92.15015093086086,Clinical Sciences (100%),Second Hospital of Hebei Medical University (100%)
481,8,1.0,2.0,100.0,Biomedical and Clinical Sciences,Biological Psychology,Dali University,China,0.011554515649147131,92.16170544651001,Biological Psychology (100%),"Dali University (75%); Princess Margaret Cancer Centre (12%); Yunnan Key Laboratory of Screening and Research on Anti-pathogenic Plant Resources from West Yunnan (Cultivation), Dali, Yunnan, China (12%)"
482,8,1.0,2.0,0.0,Health Sciences,Epidemiology,Jiangsu Province Hospital,China,0.011554515649147131,92.17325996215916,Epidemiology (100%),Jiangsu Province Hospital (100%)
483,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Immunology,Yonsei University,South Korea,0.011554515649147131,92.18481447780832,Immunology (100%),Yonsei University (100%)
484,8,0.75,1.5,0.0,Biomedical and Clinical Sciences,Nutrition and Dietetics,Guangzhou University of Chinese Medicine,China,0.011554515649147131,92.19636899345747,Nutrition and Dietetics (50%); Epidemiology (38%); Biochemistry and Cell Biology (12%),Guangzhou University of Chinese Medicine (50%); Shenzhen Traditional Chinese Medicine Hospital (38%); Ruikang Affiliated Hospital of Guangxi Medical University (12%)
485,8,1.0,1.0,0.0,Engineering,Ecological Applications,Southern Medical University,China,0.011554515649147131,92.20792350910662,Ecological Applications (100%),Southern Medical University (88%); Jiangmen Central Hospital (12%)
486,8,2.25,3.0,100.0,Biological Sciences,Genetics,Hunan University of Traditional Chinese Medicine,China,0.011554515649147131,92.21947802475577,Genetics (62%); Clinical Sciences (25%); Biochemistry and Cell Biology (12%),"Hunan University of Traditional Chinese Medicine (75%); Department of Oncology, Doumen Qiaoli Hospital of Traditional Chinese Medicine, Zhuhai, China (12%); Fangchenggang Hospital of Traditional Chinese Medicine, Fangchenggang, Guangxi, China. (12%)"
487,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Dentistry,Anhui Medical University,China,0.011554515649147131,92.23103254040493,Dentistry (100%),Anhui Medical University (62%); Second Hospital of Anhui Medical University (25%); First Affiliated Hospital of Anhui Medical University (12%)
488,8,0.0,1.0,33.333333333333336,Biomedical and Clinical Sciences,Clinical Sciences,Fox Chase Cancer Center,United States,0.011554515649147131,92.24258705605408,Clinical Sciences (100%),Fox Chase Cancer Center (100%)
489,8,1.0,1.0,62.5,Biomedical and Clinical Sciences,Clinical Sciences,Istituto Ortopedico Rizzoli,Italy,0.011554515649147131,92.25414157170323,Clinical Sciences (100%),Istituto Ortopedico Rizzoli (88%); Azienda Ospedaliera Carlo Poma (12%)
490,8,0.75,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Zhongshan People's Hospital,China,0.011554515649147131,92.26569608735238,Clinical Sciences (75%); Cardiovascular Medicine and Haematology (25%),Zhongshan People's Hospital (100%)
491,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Nanjing University,China,0.011554515649147131,92.27725060300153,Cardiovascular Medicine and Haematology (100%),Nanjing University (62%); Nanjing Medical University (12%); Nanjing University of Chinese Medicine (12%)
492,8,1.625,2.0,0.0,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Chinese PLA General Hospital,China,0.011554515649147131,92.28880511865069,Oncology and Carcinogenesis (100%),Chinese PLA General Hospital (75%); Hebei North University (12%); Peking University (12%)
493,8,0.0,1.0,0.0,Health Sciences,Epidemiology,Tongji University,China,0.011554515649147131,92.30035963429984,Epidemiology (100%),Tongji University (50%); First Affiliated Hospital of Chongqing Medical University (12%); Independent Researcher (12%)
494,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Huazhong University of Science and Technology,China,0.011554515649147131,92.31191414994899,Clinical Sciences (100%),Huazhong University of Science and Technology (50%); Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology (38%); Wuhan Central Hospital Affiliated to Tongji Medical College of Huazhong University of Science and Technology (12%)
495,8,1.0,1.0,33.333333333333336,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Pusan National University,South Korea,0.011554515649147131,92.32346866559814,Oncology and Carcinogenesis (100%),Pusan National University (50%); Pusan National University Yangsan Hospital (25%); Gachon University Gil Medical Center (12%)
496,8,1.0,1.0,33.333333333333336,Biological Sciences,Zoology,University of Bath,United Kingdom,0.011554515649147131,92.3350231812473,Zoology (100%),University of Bath (50%); Bristol Royal Infirmary (38%); Royal United Hospital Bath NHS Trust (12%)
497,8,0.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Novartis Pharmaceuticals UK Ltd,United Kingdom,0.011554515649147131,92.34657769689645,Cardiovascular Medicine and Haematology (100%),"Novartis Pharmaceuticals UK Ltd (38%); Novartis, Global RWE , Hyderabad , (25%); Novartis, Global RWE , Selangor , (12%)"
498,8,2.0,3.0,0.0,Biological Sciences,Epidemiology,Union Hospital Tongji Medical College Huazhong University of Science and Technology,China,0.011554515649147131,92.3581322125456,Epidemiology (100%),Union Hospital Tongji Medical College Huazhong University of Science and Technology (88%); Wuhan Central Hospital Affiliated to Tongji Medical College of Huazhong University of Science and Technology (12%)
499,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Dentistry,Sichuan University,China,0.011554515649147131,92.36968672819475,Dentistry (100%),Sichuan University (100%)
500,8,1.375,2.0,0.0,Biological Sciences,Epidemiology,Guangzhou University of Chinese Medicine,China,0.011554515649147131,92.3812412438439,Epidemiology (88%); Microbiology (12%),Guangzhou University of Chinese Medicine (88%); First Affiliated Hospital of Guangzhou University of Chinese Medicine (12%)
501,8,1.0,1.0,100.0,Biological Sciences,Biochemistry and Cell Biology,China-Japan Friendship Hospital,China,0.011554515649147131,92.39279575949305,Biochemistry and Cell Biology (100%),China-Japan Friendship Hospital (100%)
502,8,1.0,1.5,0.0,Biological Sciences,Genetics,Zhejiang University,China,0.011554515649147131,92.4043502751422,Genetics (100%),Zhejiang University (62%); Zhejiang Center for Disease Control and Prevention (38%)
503,8,0.0,1.0,25.0,Biomedical and Clinical Sciences,Clinical Sciences,First Affiliated Hospital of Wenzhou Medical University,China,0.011554515649147131,92.41590479079136,Clinical Sciences (100%),"First Affiliated Hospital of Wenzhou Medical University (38%); Ospedale Sandro Pertini (25%); Medicine Department, Internal Medicine Unit, Budrio Hospital Azienda USL, Budrio, 40054, Bologna, Italy. Electronic address: sirio.fiorino@ausl.bologna.it. (12%)"
504,8,1.0,1.0,0.0,Biological Sciences,Epidemiology,Tongji Medical College of Huazhong University of Science and Technology,China,0.011554515649147131,92.42745930644051,Epidemiology (100%),Tongji Medical College of Huazhong University of Science and Technology (88%); Zhongnan Hospital of Wuhan University (12%)
505,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Fourth Affiliated Hospital of Zhejiang University School of Medicine,China,0.011554515649147131,92.43901382208966,Clinical Sciences (100%),Fourth Affiliated Hospital of Zhejiang University School of Medicine (88%); Second Affiliated Hospital of Zhejiang University School of Medicine (12%)
506,8,1.125,1.0,0.0,Biomedical and Clinical Sciences,Nutrition and Dietetics,Southern Medical University,China,0.011554515649147131,92.45056833773882,Nutrition and Dietetics (62%); Medical Biochemistry and Metabolomics (38%),"Southern Medical University (88%); Fuwai Hospital, CAMS&PUMC (12%)"
507,8,0.0,2.5,0.0,Health Sciences,Epidemiology,Zhejiang University,China,0.011554515649147131,92.46212285338797,Epidemiology (100%),Zhejiang University (100%)
508,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Biological Psychology,First Hospital of Jilin University,China,0.011554515649147131,92.47367736903712,Biological Psychology (100%),First Hospital of Jilin University (88%); Soochow University (12%)
509,8,1.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Renmin Hospital of Wuhan University,China,0.011554515649147131,92.48523188468627,Cardiovascular Medicine and Haematology (100%),Renmin Hospital of Wuhan University (100%)
510,8,1.0,1.0,0.0,Health Sciences,Epidemiology,Henan University,China,0.011554515649147131,92.49678640033542,Epidemiology (100%),Henan University (62%); Henan Provincial People's Hospital (38%)
511,8,0.875,2.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Chinese Academy of Medical Sciences & Peking Union Medical College,China,0.011554515649147131,92.50834091598458,Clinical Sciences (100%),Chinese Academy of Medical Sciences & Peking Union Medical College (100%)
512,8,0.75,1.0,0.0,Biological Sciences,Genetics,China Pharmaceutical University,China,0.011554515649147131,92.51989543163373,Genetics (75%); Medical Biochemistry and Metabolomics (25%),China Pharmaceutical University (88%); Institute of Genetics and Molecular and Cellular Biology (12%)
